"","ctv","month","total"
"1","Bayesian",2012-10-01,5289
"2","Bayesian",2012-11-01,68395
"3","Bayesian",2012-12-01,73758
"4","Bayesian",2013-01-01,128429
"5","Bayesian",2013-02-01,158311
"6","Bayesian",2013-03-01,169520
"7","Bayesian",2013-04-01,207478
"8","Bayesian",2013-05-01,218976
"9","Bayesian",2013-06-01,224998
"10","Bayesian",2013-07-01,225406
"11","Bayesian",2013-08-01,216831
"12","Bayesian",2013-09-01,295796
"13","Bayesian",2013-10-01,342807
"14","Bayesian",2013-11-01,360499
"15","Bayesian",2013-12-01,296167
"16","Bayesian",2014-01-01,378080
"17","Bayesian",2014-02-01,437543
"18","Bayesian",2014-03-01,498093
"19","Bayesian",2014-04-01,574055
"20","Bayesian",2014-05-01,439933
"21","Bayesian",2014-06-01,480333
"22","Bayesian",2014-07-01,556952
"23","Bayesian",2014-08-01,544284
"24","Bayesian",2014-09-01,593717
"25","Bayesian",2014-10-01,690512
"26","Bayesian",2014-11-01,846998
"27","Bayesian",2014-12-01,693749
"28","Bayesian",2015-01-01,771373
"29","Bayesian",2015-02-01,961923
"30","Bayesian",2015-03-01,1211468
"31","Bayesian",2015-04-01,1248421
"32","Bayesian",2015-05-01,1155652
"33","Bayesian",2015-06-01,1110996
"34","Bayesian",2015-07-01,1048510
"35","Bayesian",2015-08-01,1138831
"36","Bayesian",2015-09-01,1371439
"37","Bayesian",2015-10-01,1548209
"38","Bayesian",2015-11-01,1620246
"39","Bayesian",2015-12-01,1414802
"40","Bayesian",2016-01-01,1585678
"41","Bayesian",2016-02-01,1866678
"42","Bayesian",2016-03-01,1867961
"43","Bayesian",2016-04-01,1750517
"44","Bayesian",2016-05-01,1899726
"45","Bayesian",2016-06-01,1497791
"46","Bayesian",2016-07-01,1408485
"47","Bayesian",2016-08-01,1515875
"48","Bayesian",2016-09-01,2057441
"49","Bayesian",2016-10-01,2206991
"50","Bayesian",2016-11-01,2890841
"51","Bayesian",2016-12-01,2203522
"52","Bayesian",2017-01-01,2284141
"53","Bayesian",2017-02-01,2666358
"54","Bayesian",2017-03-01,2655807
"55","Bayesian",2017-04-01,2694979
"56","Bayesian",2017-05-01,2868660
"57","Bayesian",2017-06-01,2193728
"58","Bayesian",2017-07-01,2040529
"59","Bayesian",2017-08-01,2134767
"60","Bayesian",2017-09-01,2523811
"61","Bayesian",2017-10-01,2964703
"62","Bayesian",2017-11-01,2985777
"63","Bayesian",2017-12-01,2273519
"64","Bayesian",2018-01-01,3015351
"65","Bayesian",2018-02-01,2347552
"66","Bayesian",2018-03-01,3042329
"67","Bayesian",2018-04-01,3197468
"68","Bayesian",2018-05-01,2821356
"69","Bayesian",2018-06-01,2595992
"70","Bayesian",2018-07-01,2395996
"71","Bayesian",2018-08-01,2442796
"72","Bayesian",2018-09-01,3338735
"73","Bayesian",2018-10-01,4151882
"74","Bayesian",2018-11-01,4340443
"75","Bayesian",2018-12-01,3156024
"76","Bayesian",2019-01-01,3695931
"77","Bayesian",2019-02-01,4297266
"78","Bayesian",2019-03-01,4953797
"79","Bayesian",2019-04-01,4245590
"80","Bayesian",2019-05-01,4324199
"81","Bayesian",2019-06-01,3226804
"82","Bayesian",2019-07-01,3290193
"83","Bayesian",2019-08-01,1169868
"84","ChemPhys",2012-10-01,2499
"85","ChemPhys",2012-11-01,25099
"86","ChemPhys",2012-12-01,43314
"87","ChemPhys",2013-01-01,80610
"88","ChemPhys",2013-02-01,85807
"89","ChemPhys",2013-03-01,74906
"90","ChemPhys",2013-04-01,66270
"91","ChemPhys",2013-05-01,58257
"92","ChemPhys",2013-06-01,54106
"93","ChemPhys",2013-07-01,101440
"94","ChemPhys",2013-08-01,111876
"95","ChemPhys",2013-09-01,128744
"96","ChemPhys",2013-10-01,109269
"97","ChemPhys",2013-11-01,143417
"98","ChemPhys",2013-12-01,137392
"99","ChemPhys",2014-01-01,157852
"100","ChemPhys",2014-02-01,162683
"101","ChemPhys",2014-03-01,252509
"102","ChemPhys",2014-04-01,256782
"103","ChemPhys",2014-05-01,148107
"104","ChemPhys",2014-06-01,138843
"105","ChemPhys",2014-07-01,127016
"106","ChemPhys",2014-08-01,143879
"107","ChemPhys",2014-09-01,128582
"108","ChemPhys",2014-10-01,323416
"109","ChemPhys",2014-11-01,232694
"110","ChemPhys",2014-12-01,178110
"111","ChemPhys",2015-01-01,329102
"112","ChemPhys",2015-02-01,347797
"113","ChemPhys",2015-03-01,385018
"114","ChemPhys",2015-04-01,336669
"115","ChemPhys",2015-05-01,282780
"116","ChemPhys",2015-06-01,323680
"117","ChemPhys",2015-07-01,508013
"118","ChemPhys",2015-08-01,594993
"119","ChemPhys",2015-09-01,576043
"120","ChemPhys",2015-10-01,595548
"121","ChemPhys",2015-11-01,609833
"122","ChemPhys",2015-12-01,436698
"123","ChemPhys",2016-01-01,703997
"124","ChemPhys",2016-02-01,1177341
"125","ChemPhys",2016-03-01,1403271
"126","ChemPhys",2016-04-01,1159486
"127","ChemPhys",2016-05-01,1245330
"128","ChemPhys",2016-06-01,891199
"129","ChemPhys",2016-07-01,560408
"130","ChemPhys",2016-08-01,447235
"131","ChemPhys",2016-09-01,510776
"132","ChemPhys",2016-10-01,587252
"133","ChemPhys",2016-11-01,614665
"134","ChemPhys",2016-12-01,449667
"135","ChemPhys",2017-01-01,1048627
"136","ChemPhys",2017-02-01,1284635
"137","ChemPhys",2017-03-01,995290
"138","ChemPhys",2017-04-01,803702
"139","ChemPhys",2017-05-01,697221
"140","ChemPhys",2017-06-01,624036
"141","ChemPhys",2017-07-01,563066
"142","ChemPhys",2017-08-01,494427
"143","ChemPhys",2017-09-01,502941
"144","ChemPhys",2017-10-01,595861
"145","ChemPhys",2017-11-01,614691
"146","ChemPhys",2017-12-01,453393
"147","ChemPhys",2018-01-01,532615
"148","ChemPhys",2018-02-01,720154
"149","ChemPhys",2018-03-01,1057494
"150","ChemPhys",2018-04-01,1064692
"151","ChemPhys",2018-05-01,681815
"152","ChemPhys",2018-06-01,569398
"153","ChemPhys",2018-07-01,543122
"154","ChemPhys",2018-08-01,454128
"155","ChemPhys",2018-09-01,644800
"156","ChemPhys",2018-10-01,782784
"157","ChemPhys",2018-11-01,821745
"158","ChemPhys",2018-12-01,597747
"159","ChemPhys",2019-01-01,689517
"160","ChemPhys",2019-02-01,699815
"161","ChemPhys",2019-03-01,821377
"162","ChemPhys",2019-04-01,1853462
"163","ChemPhys",2019-05-01,2032241
"164","ChemPhys",2019-06-01,1398789
"165","ChemPhys",2019-07-01,1288285
"166","ChemPhys",2019-08-01,644694
"167","ClinicalTrials",2012-10-01,1020
"168","ClinicalTrials",2012-11-01,11378
"169","ClinicalTrials",2012-12-01,13250
"170","ClinicalTrials",2013-01-01,22061
"171","ClinicalTrials",2013-02-01,22874
"172","ClinicalTrials",2013-03-01,31670
"173","ClinicalTrials",2013-04-01,35161
"174","ClinicalTrials",2013-05-01,36182
"175","ClinicalTrials",2013-06-01,31947
"176","ClinicalTrials",2013-07-01,31006
"177","ClinicalTrials",2013-08-01,35519
"178","ClinicalTrials",2013-09-01,52642
"179","ClinicalTrials",2013-10-01,58961
"180","ClinicalTrials",2013-11-01,57762
"181","ClinicalTrials",2013-12-01,39899
"182","ClinicalTrials",2014-01-01,47616
"183","ClinicalTrials",2014-02-01,55622
"184","ClinicalTrials",2014-03-01,65992
"185","ClinicalTrials",2014-04-01,70818
"186","ClinicalTrials",2014-05-01,61698
"187","ClinicalTrials",2014-06-01,58548
"188","ClinicalTrials",2014-07-01,66017
"189","ClinicalTrials",2014-08-01,71550
"190","ClinicalTrials",2014-09-01,72701
"191","ClinicalTrials",2014-10-01,99859
"192","ClinicalTrials",2014-11-01,92935
"193","ClinicalTrials",2014-12-01,84897
"194","ClinicalTrials",2015-01-01,85425
"195","ClinicalTrials",2015-02-01,92529
"196","ClinicalTrials",2015-03-01,123730
"197","ClinicalTrials",2015-04-01,119993
"198","ClinicalTrials",2015-05-01,110463
"199","ClinicalTrials",2015-06-01,114045
"200","ClinicalTrials",2015-07-01,104096
"201","ClinicalTrials",2015-08-01,131337
"202","ClinicalTrials",2015-09-01,142028
"203","ClinicalTrials",2015-10-01,154391
"204","ClinicalTrials",2015-11-01,166964
"205","ClinicalTrials",2015-12-01,135016
"206","ClinicalTrials",2016-01-01,157639
"207","ClinicalTrials",2016-02-01,213391
"208","ClinicalTrials",2016-03-01,186318
"209","ClinicalTrials",2016-04-01,169048
"210","ClinicalTrials",2016-05-01,214086
"211","ClinicalTrials",2016-06-01,170694
"212","ClinicalTrials",2016-07-01,173196
"213","ClinicalTrials",2016-08-01,158166
"214","ClinicalTrials",2016-09-01,192097
"215","ClinicalTrials",2016-10-01,241506
"216","ClinicalTrials",2016-11-01,284536
"217","ClinicalTrials",2016-12-01,213365
"218","ClinicalTrials",2017-01-01,216299
"219","ClinicalTrials",2017-02-01,241676
"220","ClinicalTrials",2017-03-01,288176
"221","ClinicalTrials",2017-04-01,279130
"222","ClinicalTrials",2017-05-01,266223
"223","ClinicalTrials",2017-06-01,256404
"224","ClinicalTrials",2017-07-01,259998
"225","ClinicalTrials",2017-08-01,215046
"226","ClinicalTrials",2017-09-01,274801
"227","ClinicalTrials",2017-10-01,327208
"228","ClinicalTrials",2017-11-01,401331
"229","ClinicalTrials",2017-12-01,287451
"230","ClinicalTrials",2018-01-01,286161
"231","ClinicalTrials",2018-02-01,250859
"232","ClinicalTrials",2018-03-01,359176
"233","ClinicalTrials",2018-04-01,378179
"234","ClinicalTrials",2018-05-01,330275
"235","ClinicalTrials",2018-06-01,279935
"236","ClinicalTrials",2018-07-01,238539
"237","ClinicalTrials",2018-08-01,230965
"238","ClinicalTrials",2018-09-01,312833
"239","ClinicalTrials",2018-10-01,396413
"240","ClinicalTrials",2018-11-01,412980
"241","ClinicalTrials",2018-12-01,295753
"242","ClinicalTrials",2019-01-01,321148
"243","ClinicalTrials",2019-02-01,325250
"244","ClinicalTrials",2019-03-01,1338987
"245","ClinicalTrials",2019-04-01,1422772
"246","ClinicalTrials",2019-05-01,872106
"247","ClinicalTrials",2019-06-01,388828
"248","ClinicalTrials",2019-07-01,411208
"249","ClinicalTrials",2019-08-01,141106
"250","Cluster",2012-10-01,3225
"251","Cluster",2012-11-01,34428
"252","Cluster",2012-12-01,41097
"253","Cluster",2013-01-01,73038
"254","Cluster",2013-02-01,83638
"255","Cluster",2013-03-01,108944
"256","Cluster",2013-04-01,107202
"257","Cluster",2013-05-01,103517
"258","Cluster",2013-06-01,98401
"259","Cluster",2013-07-01,93935
"260","Cluster",2013-08-01,100053
"261","Cluster",2013-09-01,134756
"262","Cluster",2013-10-01,140958
"263","Cluster",2013-11-01,165699
"264","Cluster",2013-12-01,134832
"265","Cluster",2014-01-01,172815
"266","Cluster",2014-02-01,180314
"267","Cluster",2014-03-01,241023
"268","Cluster",2014-04-01,261109
"269","Cluster",2014-05-01,201704
"270","Cluster",2014-06-01,215819
"271","Cluster",2014-07-01,210195
"272","Cluster",2014-08-01,243090
"273","Cluster",2014-09-01,285722
"274","Cluster",2014-10-01,328200
"275","Cluster",2014-11-01,350228
"276","Cluster",2014-12-01,310232
"277","Cluster",2015-01-01,371841
"278","Cluster",2015-02-01,375856
"279","Cluster",2015-03-01,446313
