"","package","month","total"
"1","acp",2012-10-01,0
"2","acp",2012-11-01,0
"3","acp",2012-12-01,0
"4","acp",2013-01-01,0
"5","acp",2013-02-01,0
"6","acp",2013-03-01,0
"7","acp",2013-04-01,0
"8","acp",2013-05-01,0
"9","acp",2013-06-01,0
"10","acp",2013-07-01,0
"11","acp",2013-08-01,0
"12","acp",2013-09-01,0
"13","acp",2013-10-01,0
"14","acp",2013-11-01,0
"15","acp",2013-12-01,0
"16","acp",2014-01-01,0
"17","acp",2014-02-01,0
"18","acp",2014-03-01,0
"19","acp",2014-04-01,0
"20","acp",2014-05-01,0
"21","acp",2014-06-01,0
"22","acp",2014-07-01,60
"23","acp",2014-08-01,300
"24","acp",2014-09-01,274
"25","acp",2014-10-01,291
"26","acp",2014-11-01,286
"27","acp",2014-12-01,242
"28","acp",2015-01-01,449
"29","acp",2015-02-01,337
"30","acp",2015-03-01,459
"31","acp",2015-04-01,589
"32","acp",2015-05-01,551
"33","acp",2015-06-01,549
"34","acp",2015-07-01,412
"35","acp",2015-08-01,414
"36","acp",2015-09-01,533
"37","acp",2015-10-01,537
"38","acp",2015-11-01,460
"39","acp",2015-12-01,735
"40","acp",2016-01-01,591
"41","acp",2016-02-01,510
"42","acp",2016-03-01,440
"43","acp",2016-04-01,428
"44","acp",2016-05-01,389
"45","acp",2016-06-01,332
"46","acp",2016-07-01,389
"47","acp",2016-08-01,270
"48","acp",2016-09-01,313
"49","acp",2016-10-01,404
"50","acp",2016-11-01,386
"51","acp",2016-12-01,330
"52","acp",2017-01-01,378
"53","acp",2017-02-01,314
"54","acp",2017-03-01,364
"55","acp",2017-04-01,590
"56","acp",2017-05-01,438
"57","acp",2017-06-01,359
"58","acp",2017-07-01,401
"59","acp",2017-08-01,343
"60","acp",2017-09-01,376
"61","acp",2017-10-01,354
"62","acp",2017-11-01,377
"63","acp",2017-12-01,234
"64","acp",2018-01-01,317
"65","acp",2018-02-01,256
"66","acp",2018-03-01,300
"67","acp",2018-04-01,503
"68","acp",2018-05-01,392
"69","acp",2018-06-01,315
"70","acp",2018-07-01,324
"71","acp",2018-08-01,261
"72","acp",2018-09-01,617
"73","acp",2018-10-01,611
"74","acp",2018-11-01,606
"75","acp",2018-12-01,447
"76","acp",2019-01-01,590
"77","acp",2019-02-01,551
"78","acp",2019-03-01,722
"79","acp",2019-04-01,703
"80","acp",2019-05-01,1070
"81","acp",2019-06-01,512
"82","acp",2019-07-01,735
"83","acp",2019-08-01,175
"84","AER",2012-10-01,81
"85","AER",2012-11-01,2382
"86","AER",2012-12-01,2169
"87","AER",2013-01-01,3276
"88","AER",2013-02-01,3873
"89","AER",2013-03-01,5274
"90","AER",2013-04-01,5559
"91","AER",2013-05-01,5019
"92","AER",2013-06-01,4719
"93","AER",2013-07-01,3873
"94","AER",2013-08-01,4062
"95","AER",2013-09-01,5217
"96","AER",2013-10-01,7482
"97","AER",2013-11-01,9396
"98","AER",2013-12-01,6663
"99","AER",2014-01-01,7149
"100","AER",2014-02-01,9000
"101","AER",2014-03-01,11151
"102","AER",2014-04-01,11346
"103","AER",2014-05-01,9618
"104","AER",2014-06-01,7659
"105","AER",2014-07-01,7560
"106","AER",2014-08-01,7671
"107","AER",2014-09-01,8331
"108","AER",2014-10-01,11400
"109","AER",2014-11-01,12486
"110","AER",2014-12-01,11553
"111","AER",2015-01-01,10656
"112","AER",2015-02-01,14115
"113","AER",2015-03-01,23025
"114","AER",2015-04-01,21447
"115","AER",2015-05-01,15864
"116","AER",2015-06-01,16875
"117","AER",2015-07-01,11706
"118","AER",2015-08-01,11373
"119","AER",2015-09-01,12771
"120","AER",2015-10-01,19716
"121","AER",2015-11-01,22542
"122","AER",2015-12-01,18945
"123","AER",2016-01-01,19182
"124","AER",2016-02-01,28887
"125","AER",2016-03-01,28857
"126","AER",2016-04-01,30096
"127","AER",2016-05-01,28017
"128","AER",2016-06-01,20634
"129","AER",2016-07-01,18609
"130","AER",2016-08-01,18315
"131","AER",2016-09-01,28284
"132","AER",2016-10-01,37587
"133","AER",2016-11-01,41160
"134","AER",2016-12-01,32868
"135","AER",2017-01-01,51954
"136","AER",2017-02-01,44277
"137","AER",2017-03-01,51573
"138","AER",2017-04-01,53757
"139","AER",2017-05-01,43929
"140","AER",2017-06-01,33399
"141","AER",2017-07-01,29334
"142","AER",2017-08-01,28752
"143","AER",2017-09-01,37023
"144","AER",2017-10-01,47883
"145","AER",2017-11-01,53370
"146","AER",2017-12-01,43092
"147","AER",2018-01-01,39501
"148","AER",2018-02-01,37797
"149","AER",2018-03-01,63687
"150","AER",2018-04-01,62184
"151","AER",2018-05-01,51948
"152","AER",2018-06-01,51705
"153","AER",2018-07-01,71073
"154","AER",2018-08-01,122643
"155","AER",2018-09-01,168456
"156","AER",2018-10-01,164382
"157","AER",2018-11-01,149322
"158","AER",2018-12-01,144816
"159","AER",2019-01-01,139725
"160","AER",2019-02-01,137946
"161","AER",2019-03-01,159285
"162","AER",2019-04-01,123102
"163","AER",2019-05-01,119697
"164","AER",2019-06-01,85671
"165","AER",2019-07-01,62931
"166","AER",2019-08-01,22350
"167","anomalize",2012-10-01,0
"168","anomalize",2012-11-01,0
"169","anomalize",2012-12-01,0
"170","anomalize",2013-01-01,0
"171","anomalize",2013-02-01,0
"172","anomalize",2013-03-01,0
"173","anomalize",2013-04-01,0
"174","anomalize",2013-05-01,0
