"","package","ctv","core"
"1","abc","Bayesian",FALSE
"2","abn","Bayesian",FALSE
"3","AdMit","Bayesian",FALSE
"4","arm","Bayesian",TRUE
"5","AtelieR","Bayesian",FALSE
"6","BaBooN","Bayesian",FALSE
"7","BACCO","Bayesian",TRUE
"8","BaM","Bayesian",FALSE
"9","bamlss","Bayesian",FALSE
"10","BART","Bayesian",FALSE
"11","BAS","Bayesian",FALSE
"12","BayesDA","Bayesian",FALSE
"13","BayesFactor","Bayesian",FALSE
"14","bayesGARCH","Bayesian",FALSE
"15","bayesImageS","Bayesian",FALSE
"16","bayesm","Bayesian",TRUE
"17","bayesmeta","Bayesian",FALSE
"18","bayesmix","Bayesian",FALSE
"19","bayesQR","Bayesian",FALSE
"20","BayesSummaryStatLM","Bayesian",FALSE
"21","bayesSurv","Bayesian",TRUE
"22","BayesTree","Bayesian",FALSE
"23","BayesValidate","Bayesian",FALSE
"24","BayesVarSel","Bayesian",FALSE
"25","BayesX","Bayesian",FALSE
"26","BayHaz","Bayesian",FALSE
"27","BAYSTAR","Bayesian",FALSE
"28","bbemkr","Bayesian",FALSE
"29","BCBCSF","Bayesian",FALSE
"30","BCE","Bayesian",FALSE
"31","bclust","Bayesian",FALSE
"32","bcp","Bayesian",FALSE
"33","BDgraph","Bayesian",FALSE
"34","BLR","Bayesian",FALSE
"35","BMA","Bayesian",FALSE
"36","Bmix","Bayesian",FALSE
"37","bmixture","Bayesian",FALSE
"38","BMS","Bayesian",FALSE
"39","bnlearn","Bayesian",FALSE
"40","BNSP","Bayesian",FALSE
"41","boa","Bayesian",TRUE
"42","Bolstad","Bayesian",FALSE
"43","Boom","Bayesian",FALSE
"44","BoomSpikeSlab","Bayesian",FALSE
"45","bqtl","Bayesian",FALSE
"46","bridgesampling","Bayesian",FALSE
"47","brms","Bayesian",FALSE
"48","bsamGP","Bayesian",FALSE
"49","bspec","Bayesian",FALSE
"50","bspmma","Bayesian",FALSE
"51","bsts","Bayesian",FALSE
"52","BVS","Bayesian",FALSE
"53","catnet","Bayesian",FALSE
"54","coalescentMCMC","Bayesian",FALSE
"55","coda","Bayesian",TRUE
"56","dclone","Bayesian",FALSE
"57","deBInfer","Bayesian",FALSE
"58","dlm","Bayesian",FALSE
"59","EbayesThresh","Bayesian",FALSE
"60","ebdbNet","Bayesian",FALSE
"61","eco","Bayesian",FALSE
"62","eigenmodel","Bayesian",FALSE
"63","ensembleBMA","Bayesian",FALSE
"64","EntropyMCMC","Bayesian",FALSE
"65","evdbayes","Bayesian",FALSE
"66","exactLoglinTest","Bayesian",FALSE
"67","factorQR","Bayesian",FALSE
"68","FME","Bayesian",FALSE
"69","geoR","Bayesian",FALSE
"70","geoRglm","Bayesian",FALSE
"71","ggmcmc","Bayesian",FALSE
"72","gRain","Bayesian",FALSE
"73","hbsae","Bayesian",FALSE
"74","HI","Bayesian",FALSE
"75","Hmisc","Bayesian",FALSE
"76","iterLap","Bayesian",FALSE
"77","LaplacesDemon","Bayesian",FALSE
"78","LearnBayes","Bayesian",FALSE
"79","lme4","Bayesian",FALSE
"80","lmm","Bayesian",FALSE
"81","MasterBayes","Bayesian",FALSE
"82","matchingMarkets","Bayesian",FALSE
"83","mcmc","Bayesian",TRUE
"84","MCMCglmm","Bayesian",FALSE
"85","MCMCpack","Bayesian",TRUE
"86","MCMCvis","Bayesian",FALSE
"87","mgcv","Bayesian",FALSE
"88","mlogitBMA","Bayesian",FALSE
"89","MNP","Bayesian",FALSE
"90","mombf","Bayesian",FALSE
"91","monomvn","Bayesian",FALSE
"92","NetworkChange","Bayesian",FALSE
"93","nimble","Bayesian",TRUE
"94","openEBGM","Bayesian",FALSE
"95","pacbpred","Bayesian",FALSE
"96","PAWL","Bayesian",FALSE
"97","pcFactorStan","Bayesian",FALSE
"98","plotMCMC","Bayesian",FALSE
"99","predmixcor","Bayesian",FALSE
"100","PReMiuM","Bayesian",FALSE
"101","prevalence","Bayesian",FALSE
"102","profdpm","Bayesian",FALSE
"103","pscl","Bayesian",FALSE
"104","R2BayesX","Bayesian",FALSE
"105","R2jags","Bayesian",FALSE
"106","R2WinBUGS","Bayesian",FALSE
"107","ramps","Bayesian",FALSE
"108","revdbayes","Bayesian",FALSE
"109","RJaCGH","Bayesian",FALSE
"110","rjags","Bayesian",FALSE
"111","RSGHB","Bayesian",FALSE
"112","RSGHB","Bayesian",FALSE
"113","rstan","Bayesian",FALSE
"114","rstiefel","Bayesian",FALSE
"115","runjags","Bayesian",FALSE
"116","Runuran","Bayesian",FALSE
"117","RxCEcolInf","Bayesian",FALSE
"118","SamplerCompare","Bayesian",FALSE
"119","SampleSizeMeans","Bayesian",FALSE
"120","SampleSizeProportions","Bayesian",FALSE
"121","sbgcop","Bayesian",FALSE
"122","SimpleTable","Bayesian",FALSE
